Contra barra Distinción,14499,,Muebles>Bar,Alto: 200 cm aproximado. Ancho: 67 cm aproximado. Profundidad: 40 cm aproximado.,https://ss101.liverpool.com.mx/xl/1060621001.jpg
Set Terraza Keter Bistro,3999,2799.3,Muebles>Jardín,Largo: Silla 87 cm aproximado. Mesa 75 cm aproximado. Ancho: Silla 48 cm aproximado. Mesa 60 cm aproximado. Profundidad: Silla 57 cm aproximado. Mesa 60 cm aproximado.,https://ss116.liverpool.com.mx/xl/1063281685.jpg
Set Terraza Keter Chelsea,4699,,Muebles>Jardín,Largo: Silla 87 cm aproximado. Mesa 75 cm aproximado. Ancho: Silla 48 cm aproximado. Mesa 60 cm aproximado. Profundidad: Silla 57 cm aproximado. Mesa 60 cm aproximado.,https://ss116.liverpool.com.mx/xl/1063279150.jpg
"Sala 3,2,1 Topsun Munich de ratán",23999,,Muebles>Jardín,"Elaborado en fibras artificiales (PE) tejidas a mano, el juego de sala Munich de líneas rectas, viste los espacios exteriores con un toque de diseño contemporáneo.",https://ss116.liverpool.com.mx/xl/1052271815.jpg
Antecomedor con sombrilla Lottus California,8999,,Muebles>Jardín,"4 sillas plegables; 1 mesa de comedor y 1 sombrilla, diámetro en mesa 90 cm aproximado. Imagen ambientada ilustrativa, las piezas se venden por separado.",https://ss116.liverpool.com.mx/xl/1052525361.jpg
"Sala 3,2,1 Scancom Ibiza de madera natural",17999,,Muebles>Jardín,"Medidas de mesa central: Alto 52.45 cm x Ancho 120 cm x Profundidad 50.90 cm aproximado. Peso neto de 52.4 kg, peso bruto de 70.9 kg aproximado.",https://ss116.liverpool.com.mx/xl/1051301842.jpg
Mecedora reclinable Distinción Pamplona ,9999,,Muebles>Reclinables,Está comprobado que a nivel físico psicológico y emocional; el mantener un espacio en nuestra vida para dedicarle a la relajación es clave si queremos un bienestar integral,https://ss101.liverpool.com.mx/xl/1013996969.jpg
Reclinable sofá Boal Río Contemporáneo ,29499,,Muebles>Reclinables,Capacidad: Doble. Alto: 98 cm aproximado. Ancho: 222 cm aproximado. Profundidad: 102 aproximado.,https://ss101.liverpool.com.mx/xl/1018622501.jpg
Reclinable Mecedora La Z Boy Pinnacle ,15999,,Muebles>Reclinables,"Sillón reclinable tapizado en tela 100% poliéster de microdenier. Presenta un alto, cómodo y acojinado respaldo con la posibilidad de inclinarlo independientemente de la activación del descansapies. ",https://ss101.liverpool.com.mx/xl/1060348215.jpg
Reclinable Distinción Quito Contemporáneo,14499,,Muebles>Reclinables,Disfrute del confort de este bello reclinable mecedora,https://ss101.liverpool.com.mx/xl/1059191108.jpg
Sillón reclinable K Motion Beka ,20999,,Muebles>Reclinables,"Sillón moderno, casual y elegante con un confort excepcional. El reclinable es eléctrico y también tiene movimiento de cabecera eléctrico.",https://ss101.liverpool.com.mx/xl/1061034681.jpg
Lámpara de mesa N Narrative Anchor,1999,,Muebles>Lámparas,Encendido: Eléctrico. Alto de la Base: 43.5 cm aproximado. Ancho de la Base: 22.5 cm aproximado.,https://ss156.liverpool.com.mx/xl/1064248355.jpg
Lámpara Exterior N Narrative,499,,Muebles>Lámparas,Dimensiones 160 cm x 30 cm aproximado. Utiliza 2 baterías AA,https://ss156.liverpool.com.mx/xl/1060719698.jpg
Lámpara de escritorio N Narrative,799,,Muebles>Lámparas,Encendido: On/Off. Alto de la Base: 45.7 cm aproximado. Ancho de la Base: 15 cm aproximado. Ancho de la Pantalla  12.7 cm aproximado.,https://ss156.liverpool.com.mx/xl/1061505250.jpg
Lámpara de mesa N Narrative Hale,1999,,Muebles>Lámparas,Encendido: On/Off. Alto de la Base: 80 cm aproximado. Ancho de la Base: 20 cm aproximado.,https://ss156.liverpool.com.mx/xl/1061505110.jpg
Lámpara de pie N Narrative Octopus,4999,,Muebles>Lámparas,Alto de la Base: 210 cm aproximado. Ancho de la Base: 35 cm aproximado. Color de la Base: Negro. ,https://ss156.liverpool.com.mx/xl/1061505241.jpg
West Elm Espejo Mid-Century,9999,,Muebles>Espejos,"Nuestro espejo Mid-Century brinda un diseño con acabados en nogal y acentos en metal. Se apoya en la pared y tiene una superficie extra ancha, por lo que es ideal para clósets o vestidores.",https://ss107.westelm.com.mx/xl/1040210128.jpg
Espejo N Narrative Intco,1799,,Muebles>Espejos,Material del Marco: Molde de PS. Alto: 87 cm aproximado. Ancho: 71 cm aproximado.,https://ss161.liverpool.com.mx/xl/1064628573.jpg
Espejo de pared N Narrative Moc Hallie,4599,,Muebles>Espejos,Material: Madera con cristal. Alto: 100 cm aproximado. Ancho: 100 cm aproximado.,https://ss161.liverpool.com.mx/xl/1056019240.jpg
